Year,Date,Month,x,xlog,t,trend
1981,1981-01-01,1,8226,9.0150551488,1,0.0025252525
1981,1981-02-01,2,9105,9.1165789922,2,0.0050505051
1981,1981-03-01,3,8186,9.0101806571,3,0.0075757576
1981,1981-04-01,4,4581,8.4296725939,4,0.0101010101
1981,1981-05-01,5,5430,8.5996944129,5,0.0126262626
1981,1981-06-01,6,6256,8.7412962822,6,0.0151515152
1981,1981-07-01,7,5062,8.5295169411,7,0.0176767677
1981,1981-08-01,8,7441,8.9147605274,8,0.0202020202
1981,1981-09-01,9,7744,8.954673629,9,0.0227272727
1981,1981-10-01,10,6578,8.7914860267,10,0.0252525253
1981,1981-11-01,11,8697,9.0707334176,11,0.0277777778
1981,1981-12-01,12,5203,8.5569906613,12,0.0303030303
1982,1982-01-01,1,7361,8.9039510721,13,0.0328282828
1982,1982-02-01,2,6968,8.8490835185,14,0.0353535354
1982,1982-03-01,3,7845,8.9676316652,15,0.0378787879
1982,1982-04-01,4,5419,8.5976665756,16,0.0404040404
1982,1982-05-01,5,4942,8.5055253865,17,0.0429292929
1982,1982-06-01,6,5979,8.6960086089,18,0.0454545455
1982,1982-07-01,7,5969,8.6943346882,19,0.047979798
1982,1982-08-01,8,4797,8.4757460015,20,0.0505050505
1982,1982-09-01,9,5817,8.6685399439,21,0.053030303
1982,1982-10-01,10,8031,8.9910643322,22,0.0555555556
1982,1982-11-01,11,7848,8.9680140012,23,0.0580808081
1982,1982-12-01,12,5217,8.559677803,24,0.0606060606
1983,1983-01-01,1,6726,8.8137358923,25,0.0631313131
1983,1983-02-01,2,4637,8.4418228844,26,0.0656565657
1983,1983-03-01,3,4237,8.3516107506,27,0.0681818182
1983,1983-04-01,4,4000,8.2940496401,28,0.0707070707
1983,1983-05-01,5,4578,8.4290175005,29,0.0732323232
1983,1983-06-01,6,4339,8.3753991858,30,0.0757575758
1983,1983-07-01,7,4373,8.3832045514,31,0.0782828283
1983,1983-08-01,8,4107,8.320448114,32,0.0808080808
1983,1983-09-01,9,5398,8.5937837936,33,0.0833333333
1983,1983-10-01,10,6016,8.7021778656,34,0.0858585859
1983,1983-11-01,11,6536,8.7850806365,35,0.0883838384
1983,1983-12-01,12,5387,8.5917439227,36,0.0909090909
1984,1984-01-01,1,7424,8.9124732745,37,0.0934343434
1984,1984-02-01,2,4916,8.5002504707,38,0.095959596
1984,1984-03-01,3,4950,8.5071428556,39,0.0984848485
1984,1984-04-01,4,3423,8.1382726385,40,0.101010101
1984,1984-05-01,5,4922,8.501470231,41,0.1035353535
1984,1984-06-01,6,4085,8.3150770073,42,0.1060606061
1984,1984-07-01,7,4175,8.3368696373,43,0.1085858586
1984,1984-08-01,8,3893,8.2669353476,44,0.1111111111
1984,1984-09-01,9,5572,8.6255093349,45,0.1136363636
1984,1984-10-01,10,5916,8.6854158238,46,0.1161616162
1984,1984-11-01,11,6524,8.7832429637,47,0.1186868687
1984,1984-12-01,12,4713,8.4580799269,48,0.1212121212
1985,1985-01-01,1,6133,8.7214393056,49,0.1237373737
1985,1985-02-01,2,5105,8.5379757306,50,0.1262626263
1985,1985-03-01,3,4192,8.340933226,51,0.1287878788
1985,1985-04-01,4,4877,8.4922855557,52,0.1313131313
1985,1985-05-01,5,4837,8.4840499728,53,0.1338383838
1985,1985-06-01,6,3756,8.2311098403,54,0.1363636364
1985,1985-07-01,7,4454,8.4015578478,55,0.1388888889
1985,1985-08-01,8,4734,8.4625257901,56,0.1414141414
1985,1985-09-01,9,6157,8.7253449249,57,0.1439393939
1985,1985-10-01,10,6227,8.7366499549,58,0.1464646465
1985,1985-11-01,11,5951,8.6913145516,59,0.148989899
1985,1985-12-01,12,5401,8.5943394006,60,0.1515151515
1986,1986-01-01,1,7177,8.8786367474,61,0.154040404
1986,1986-02-01,2,5991,8.6980136221,62,0.1565656566
1986,1986-03-01,3,5693,8.646992629,63,0.1590909091
1986,1986-04-01,4,4521,8.4164884873,64,0.1616161616
1986,1986-05-01,5,5399,8.5939690302,65,0.1641414141
1986,1986-06-01,6,5103,8.5375838811,66,0.1666666667
1986,1986-07-01,7,4703,8.4559558819,67,0.1691919192
1986,1986-08-01,8,5138,8.5444191777,68,0.1717171717
1986,1986-09-01,9,6977,8.8503743039,69,0.1742424242
1986,1986-10-01,10,5922,8.6864295087,70,0.1767676768
1986,1986-11-01,11,6535,8.7849276261,71,0.1792929293
1986,1986-12-01,12,5751,8.6571290317,72,0.1818181818
1987,1987-01-01,1,7420,8.9119343362,73,0.1843434343
1987,1987-02-01,2,6079,8.7125954877,74,0.1868686869
1987,1987-03-01,3,5657,8.6406489953,75,0.1893939394
1987,1987-04-01,4,4079,8.3136071393,76,0.1919191919
1987,1987-05-01,5,5152,8.5471402678,77,0.1944444444
1987,1987-06-01,6,5610,8.6323059985,78,0.196969697
1987,1987-07-01,7,5673,8.6434733573,79,0.1994949495
1987,1987-08-01,8,5810,8.6673358498,80,0.202020202
1987,1987-09-01,9,6805,8.8254129151,81,0.2045454545
1987,1987-10-01,10,7349,8.9023195285,82,0.2070707071
1987,1987-11-01,11,7570,8.9319483464,83,0.2095959596
1987,1987-12-01,12,5785,8.6630236396,84,0.2121212121
1988,1988-01-01,1,8265,9.0197850103,85,0.2146464646
1988,1988-02-01,2,5653,8.6399416567,86,0.2171717172
1988,1988-03-01,3,6227,8.7366499549,87,0.2196969697
1988,1988-04-01,4,4874,8.4916702342,88,0.2222222222
1988,1988-05-01,5,5944,8.6901375864,89,0.2247474747
1988,1988-06-01,6,6044,8.7068213234,90,0.2272727273
1988,1988-07-01,7,6221,8.7356859445,91,0.2297979798
1988,1988-08-01,8,7001,8.853808275,92,0.2323232323
1988,1988-09-01,9,7722,8.9518286768,93,0.2348484848
1988,1988-10-01,10,6264,8.7425742377,94,0.2373737374
1988,1988-11-01,11,8049,8.9933031391,95,0.2398989899
1988,1988-12-01,12,6683,8.8073222675,96,0.2424242424
1989,1989-01-01,1,8905,9.0943681957,97,0.2449494949
1989,1989-02-01,2,6607,8.795884972,98,0.2474747475
1989,1989-03-01,3,7166,8.8771028979,99,0.25
1989,1989-04-01,4,5083,8.5336569174,100,0.2525252525
1989,1989-05-01,5,5822,8.6693991243,101,0.2550505051
1989,1989-06-01,6,7283,8.8932981442,102,0.2575757576
1989,1989-07-01,7,5838,8.6721435514,103,0.2601010101
1989,1989-08-01,8,7335,8.9004126906,104,0.2626262626
1989,1989-09-01,9,7989,8.9858208745,105,0.2651515152
1989,1989-10-01,10,10692,9.2772510773,106,0.2676767677
1989,1989-11-01,11,8826,9.0854571898,107,0.2702020202
1989,1989-12-01,12,5489,8.6105013685,108,0.2727272727
1990,1990-01-01,1,11083,9.3131676818,109,0.2752525253
1990,1990-02-01,2,7323,8.8987753591,110,0.2777777778
1990,1990-03-01,3,9479,9.1568341045,111,0.2803030303
1990,1990-04-01,4,11494,9.3495804391,112,0.2828282828
1990,1990-05-01,5,7244,8.887928819,113,0.2853535354
1990,1990-06-01,6,7250,8.8887567478,114,0.2878787879
1990,1990-07-01,7,3212,8.0746490751,115,0.2904040404
1990,1990-08-01,8,8195,9.0112794912,116,0.2929292929
1990,1990-09-01,9,11746,9.3712680361,117,0.2954545455
1990,1990-10-01,10,12382,9.4239990841,118,0.297979798
1990,1990-11-01,11,12513,9.4345233829,119,0.3005050505
1990,1990-12-01,12,5652,8.6397647438,120,0.303030303
1991,1991-01-01,1,13220,9.4894861134,121,0.3055555556
1991,1991-02-01,2,10447,9.2540701348,122,0.3080808081
1991,1991-03-01,3,9118,9.1180057608,123,0.3106060606
1991,1991-04-01,4,8640,9.0641578618,124,0.3131313131
1991,1991-05-01,5,13769,9.5301749674,125,0.3156565657
1991,1991-06-01,6,8342,9.0290582748,126,0.3181818182
1991,1991-07-01,7,9147,9.1211812357,127,0.3207070707
1991,1991-08-01,8,10941,9.3002724795,128,0.3232323232
1991,1991-09-01,9,13387,9.5020393658,129,0.3257575758
1991,1991-10-01,10,14455,9.5787956545,130,0.3282828283
1991,1991-11-01,11,13580,9.5163534011,131,0.3308080808
1991,1991-12-01,12,6300,8.7483049124,132,0.3333333333
1992,1992-01-01,1,11508,9.3507977247,133,0.3358585859
1992,1992-02-01,2,12375,9.4234335874,134,0.3383838384
1992,1992-03-01,3,10428,9.2522497751,135,0.3409090909
1992,1992-04-01,4,6800,8.8246778912,136,0.3434343434
1992,1992-05-01,5,9245,9.1318381438,137,0.345959596
1992,1992-06-01,6,10526,9.2616036659,138,0.3484848485
1992,1992-07-01,7,8997,9.1046464674,139,0.351010101
1992,1992-08-01,8,11529,9.3526208792,140,0.3535353535
1992,1992-09-01,9,12136,9.403931521,141,0.3560606061
1992,1992-10-01,10,15684,9.6603963634,142,0.3585858586
1992,1992-11-01,11,11677,9.3653763741,143,0.3611111111
1992,1992-12-01,12,9333,9.1413117856,144,0.3636363636
1993,1993-01-01,1,11722,9.369222697,145,0.3661616162
1993,1993-02-01,2,9663,9.176059438,146,0.3686868687
1993,1993-03-01,3,9532,9.1624098382,147,0.3712121212
1993,1993-04-01,4,8601,9.0596337546,148,0.3737373737
1993,1993-05-01,5,6722,8.8131410083,149,0.3762626263
1993,1993-06-01,6,11745,9.3711828971,150,0.3787878788
1993,1993-07-01,7,8085,8.997765772,151,0.3813131313
1993,1993-08-01,8,11369,9.3386456321,152,0.3838383838
1993,1993-09-01,9,7696,8.9484559923,153,0.3863636364
1993,1993-10-01,10,12222,9.4109928855,154,0.3888888889
1993,1993-11-01,11,13414,9.5040542167,155,0.3914141414
1993,1993-12-01,12,9954,9.2057297594,156,0.3939393939
1994,1994-01-01,1,10196,9.2297507655,157,0.3964646465
1994,1994-02-01,2,8054,8.9939241414,158,0.398989899
1994,1994-03-01,3,8021,8.9898183814,159,0.4015151515
1994,1994-04-01,4,7361,8.9039510721,160,0.404040404
1994,1994-05-01,5,8661,9.0665854683,161,0.4065656566
1994,1994-06-01,6,7444,8.9151636178,162,0.4090909091
1994,1994-07-01,7,5660,8.6411791712,163,0.4116161616
1994,1994-08-01,8,10412,9.2507142661,164,0.4141414141
1994,1994-09-01,9,9358,9.1439868714,165,0.4166666667
1994,1994-10-01,10,9491,9.1580992601,166,0.4191919192
1994,1994-11-01,11,11817,9.3772944516,167,0.4217171717
1994,1994-12-01,12,9464,9.1552504057,168,0.4242424242
1995,1995-01-01,1,9749,9.1849199946,169,0.4267676768
1995,1995-02-01,2,8715,9.072800958,170,0.4292929293
1995,1995-03-01,3,7253,8.8891704554,171,0.4318181818
1995,1995-04-01,4,7203,8.8822528849,172,0.4343434343
1995,1995-05-01,5,6439,8.7701285275,173,0.4368686869
1995,1995-06-01,6,5360,8.5867192541,174,0.4393939394
1995,1995-07-01,7,5663,8.6417090661,175,0.4419191919
1995,1995-08-01,8,8059,8.9945447583,176,0.4444444444
1995,1995-09-01,9,9429,9.1515453255,177,0.446969697
1995,1995-10-01,10,7744,8.954673629,178,0.4494949495
1995,1995-11-01,11,10189,9.229063986,179,0.452020202
1995,1995-12-01,12,4131,8.3262747874,180,0.4545454545
1996,1996-01-01,1,9518,9.1609400217,181,0.4570707071
1996,1996-02-01,2,5480,8.6088603799,182,0.4595959596
1996,1996-03-01,3,5345,8.5839168235,183,0.4621212121
1996,1996-04-01,4,4684,8.4519077247,184,0.4646464646
1996,1996-05-01,5,6815,8.8268813441,185,0.4671717172
1996,1996-06-01,6,3321,8.1080212214,186,0.4696969697
1996,1996-07-01,7,5203,8.5569906613,187,0.4722222222
1996,1996-08-01,8,6372,8.759668671,188,0.4747474747
1996,1996-09-01,9,6107,8.7171909332,189,0.4772727273
1996,1996-10-01,10,8948,9.0991853226,190,0.4797979798
1996,1996-11-01,11,6873,8.8353559711,191,0.4823232323
1996,1996-12-01,12,4966,8.5103699661,192,0.4848484848
1997,1997-01-01,1,6476,8.7758583148,193,0.4873737374
1997,1997-02-01,2,5360,8.5867192541,194,0.4898989899
1997,1997-03-01,3,5151,8.5469461496,195,0.4924242424
1997,1997-04-01,4,4156,8.3323083522,196,0.4949494949
1997,1997-05-01,5,4189,8.3402173209,197,0.4974747475
1997,1997-06-01,6,4385,8.3859449048,198,0.5
1997,1997-07-01,7,6178,8.7287498735,199,0.5025252525
1997,1997-08-01,8,6178,8.7287498735,200,0.5050505051
1997,1997-09-01,9,6393,8.7629589208,201,0.5075757576
1997,1997-10-01,10,8198,9.0116455011,202,0.5101010101
1997,1997-11-01,11,5850,8.6741969402,203,0.5126262626
1997,1997-12-01,12,4014,8.2975435294,204,0.5151515152
1998,1998-01-01,1,6613,8.7967926877,205,0.5176767677
1998,1998-02-01,2,5154,8.5475283912,206,0.5202020202
1998,1998-03-01,3,4924,8.5018764873,207,0.5227272727
1998,1998-04-01,4,5345,8.5839168235,208,0.5252525253
1998,1998-05-01,5,4396,8.3884503155,209,0.5277777778
1998,1998-06-01,6,4655,8.4456971897,210,0.5303030303
1998,1998-07-01,7,6626,8.7987565829,211,0.5328282828
1998,1998-08-01,8,6746,8.8167050156,212,0.5353535354
1998,1998-09-01,9,7005,8.8543794588,213,0.5378787879
1998,1998-10-01,10,9327,9.1406686987,214,0.5404040404
1998,1998-11-01,11,6773,8.8206993992,215,0.5429292929
1998,1998-12-01,12,4338,8.3751686914,216,0.5454545455
1999,1999-01-01,1,8055,8.9940482956,217,0.547979798
1999,1999-02-01,2,6340,8.7546340474,218,0.5505050505
1999,1999-03-01,3,6606,8.795733606,219,0.553030303
1999,1999-04-01,4,5535,8.6188468451,220,0.5555555556
1999,1999-05-01,5,4774,8.4709398069,221,0.5580808081
1999,1999-06-01,6,7132,8.872346979,222,0.5606060606
1999,1999-07-01,7,6853,8.8324417916,223,0.5631313131
1999,1999-08-01,8,7050,8.8607828958,224,0.5656565657
1999,1999-09-01,9,9516,9.1607298714,225,0.5681818182
1999,1999-10-01,10,8229,9.0154197796,226,0.5707070707
1999,1999-11-01,11,7289,8.8941216414,227,0.5732323232
1999,1999-12-01,12,5940,8.6894644124,228,0.5757575758
2000,2000-01-01,1,7059,8.8620586774,229,0.5782828283
2000,2000-02-01,2,6487,8.7775554532,230,0.5808080808
2000,2000-03-01,3,6776,8.8211422363,231,0.5833333333
2000,2000-04-01,4,5304,8.5762165319,232,0.5858585859
2000,2000-05-01,5,5332,8.5814816813,233,0.5883838384
2000,2000-06-01,6,6571,8.7904213069,234,0.5909090909
2000,2000-07-01,7,6537,8.7852336236,235,0.5934343434
2000,2000-08-01,8,9182,9.1250003248,236,0.595959596
2000,2000-09-01,9,8260,9.0191798665,237,0.5984848485
2000,2000-10-01,10,8340,9.0288184954,238,0.601010101
2000,2000-11-01,11,9330,9.1409902938,239,0.6035353535
2000,2000-12-01,12,4653,8.4452674518,240,0.6060606061
2001,2001-01-01,1,9602,9.1697266891,241,0.6085858586
2001,2001-02-01,2,8152,9.0060185749,242,0.6111111111
2001,2001-03-01,3,6634,8.7999632195,243,0.6136363636
2001,2001-04-01,4,6281,8.7452844825,244,0.6161616162
2001,2001-05-01,5,7996,8.9866966956,245,0.6186868687
2001,2001-06-01,6,7278,8.8926113782,246,0.6212121212
2001,2001-07-01,7,7962,8.9824355036,247,0.6237373737
2001,2001-08-01,8,11470,9.3474902101,248,0.6262626263
2001,2001-09-01,9,9257,9.1331353011,249,0.6287878788
2001,2001-10-01,10,11796,9.3755157699,250,0.6313131313
2001,2001-11-01,11,8634,9.0634631761,251,0.6338383838
2001,2001-12-01,12,4670,8.4489143507,252,0.6363636364
2002,2002-01-01,1,11492,9.3494064201,253,0.6388888889
2002,2002-02-01,2,7913,8.9762622556,254,0.6414141414
2002,2002-03-01,3,6540,8.7856924445,255,0.6439393939
2002,2002-04-01,4,7519,8.9251884294,256,0.6464646465
2002,2002-05-01,5,6698,8.8095642534,257,0.648989899
2002,2002-06-01,6,6659,8.8037246021,258,0.6515151515
2002,2002-07-01,7,7709,8.9501437565,259,0.654040404
2002,2002-08-01,8,11094,9.3141597006,260,0.6565656566
2002,2002-09-01,9,10007,9.2110401271,261,0.6590909091
2002,2002-10-01,10,12061,9.3977323856,262,0.6616161616
2002,2002-11-01,11,10106,9.2208845859,263,0.6641414141
2002,2002-12-01,12,7202,8.8821140442,264,0.6666666667
2003,2003-01-01,1,9369,9.145161646,265,0.6691919192
2003,2003-02-01,2,7706,8.9497545252,266,0.6717171717
2003,2003-03-01,3,7181,8.8791939281,267,0.6742424242
2003,2003-04-01,4,5748,8.6566072472,268,0.6767676768
2003,2003-05-01,5,7906,8.9753772439,269,0.6792929293
2003,2003-06-01,6,5871,8.6777802561,270,0.6818181818
2003,2003-07-01,7,8592,9.0585868167,271,0.6843434343
2003,2003-08-01,8,9356,9.1437731277,272,0.6868686869
2003,2003-09-01,9,9401,9.1485713456,273,0.6893939394
2003,2003-10-01,10,11625,9.3609132305,274,0.6919191919
2003,2003-11-01,11,8383,9.0339611246,275,0.6944444444
2003,2003-12-01,12,7637,8.9407601349,276,0.696969697
2004,2004-01-01,1,9769,9.1869693857,277,0.6994949495
2004,2004-02-01,2,8214,9.0135952945,278,0.702020202
2004,2004-03-01,3,7780,8.9593116172,279,0.7045454545
2004,2004-04-01,4,8345,9.0294178361,280,0.7070707071
2004,2004-05-01,5,5793,8.6644055711,281,0.7095959596
2004,2004-06-01,6,8012,8.9886956968,282,0.7121212121
2004,2004-07-01,7,8158,9.0067543199,283,0.7146464646
2004,2004-08-01,8,8408,9.0369389126,284,0.7171717172
2004,2004-09-01,9,9722,9.1821466376,285,0.7196969697
2004,2004-10-01,10,10620,9.2704942948,286,0.7222222222
2004,2004-11-01,11,7863,8.969923492,287,0.7247474747
2004,2004-12-01,12,8120,9.0020854332,288,0.7272727273
2005,2005-01-01,1,8068,8.9956608991,289,0.7297979798
2005,2005-02-01,2,6710,8.81135423,290,0.7323232323
2005,2005-03-01,3,8950,9.0994088113,291,0.7348484848
2005,2005-04-01,4,6202,8.7326270997,292,0.7373737374
2005,2005-05-01,5,5868,8.6772691393,293,0.7398989899
2005,2005-06-01,6,9307,9.1385220842,294,0.7424242424
2005,2005-07-01,7,6919,8.8420265295,295,0.7449494949
2005,2005-08-01,8,8150,9.0057732062,296,0.7474747475
2005,2005-09-01,9,12105,9.4013738694,297,0.75
2005,2005-10-01,10,9000,9.1049798563,298,0.7525252525
2005,2005-11-01,11,8436,9.0402635416,299,0.7550505051
2005,2005-12-01,12,9355,9.1436662387,300,0.7575757576
2006,2006-01-01,1,8364,9.0316920605,301,0.7601010101
2006,2006-02-01,2,7296,8.8950815318,302,0.7626262626
2006,2006-03-01,3,10656,9.2738783928,303,0.7651515152
2006,2006-04-01,4,6486,8.7774012869,304,0.7676767677
2006,2006-05-01,5,6731,8.814479,305,0.7702020202
2006,2006-06-01,6,9935,9.203819155,306,0.7727272727
2006,2006-07-01,7,7400,8.9092352792,307,0.7752525253
2006,2006-08-01,8,10107,9.2209835321,308,0.7777777778
2006,2006-09-01,9,11668,9.364605331,309,0.7803030303
2006,2006-10-01,10,9411,9.1496344969,310,0.7828282828
2006,2006-11-01,11,10693,9.2773446008,311,0.7853535354
2006,2006-12-01,12,8390,9.0347957995,312,0.7878787879
2007,2007-01-01,1,9461,9.1549333647,313,0.7904040404
2007,2007-02-01,2,8172,9.0084689559,314,0.7929292929
2007,2007-03-01,3,11498,9.3499283862,315,0.7954545455
2007,2007-04-01,4,7270,8.8915115705,316,0.797979798
2007,2007-05-01,5,7317,8.8979556869,317,0.8005050505
2007,2007-06-01,6,15456,9.6457525565,318,0.803030303
2007,2007-07-01,7,11252,9.3283011696,319,0.8055555556
2007,2007-08-01,8,14366,9.5726195826,320,0.8080808081
2007,2007-09-01,9,14935,9.6114627307,321,0.8106060606
2007,2007-10-01,10,18321,9.8158032219,322,0.8131313131
2007,2007-11-01,11,16483,9.7100848257,323,0.8156565657
2007,2007-12-01,12,9268,9.1343228856,324,0.8181818182
2008,2008-01-01,1,18160,9.8069766522,325,0.8207070707
2008,2008-02-01,2,13416,9.5042033035,326,0.8232323232
2008,2008-03-01,3,11792,9.3751766144,327,0.8257575758
2008,2008-04-01,4,12749,9.4532081161,328,0.8282828283
2008,2008-05-01,5,13033,9.4752398815,329,0.8308080808
2008,2008-06-01,6,11105,9.3151507363,330,0.8333333333
2008,2008-07-01,7,13668,9.5228126132,331,0.8358585859
2008,2008-08-01,8,13513,9.511407464,332,0.8383838384
2008,2008-09-01,9,15893,9.6736340397,333,0.8409090909
2008,2008-10-01,10,17629,9.7773005523,334,0.8434343434
2008,2008-11-01,11,12064,9.3979810902,335,0.845959596
2008,2008-12-01,12,8589,9.0582375938,336,0.8484848485
2009,2009-01-01,1,12239,9.4123828534,337,0.851010101
2009,2009-02-01,2,11575,9.356602879,338,0.8535353535
2009,2009-03-01,3,11001,9.3057414567,339,0.8560606061
2009,2009-04-01,4,11043,9.309552022,340,0.8585858586
2009,2009-05-01,5,9206,9.1276107244,341,0.8611111111
2009,2009-06-01,6,9854,9.1956327431,342,0.8636363636
2009,2009-07-01,7,12277,9.4154828722,343,0.8661616162
2009,2009-08-01,8,11864,9.3812638838,344,0.8686868687
2009,2009-09-01,9,12806,9.4576690901,345,0.8712121212
2009,2009-10-01,10,15351,9.6389358975,346,0.8737373737
2009,2009-11-01,11,11409,9.3421577966,347,0.8762626263
2009,2009-12-01,12,9640,9.1736763876,348,0.8787878788
2010,2010-01-01,1,12847,9.4608656,349,0.8813131313
2010,2010-02-01,2,10602,9.2687979415,350,0.8838383838
2010,2010-03-01,3,11140,9.3182975135,351,0.8863636364
2010,2010-04-01,4,10476,9.2568422056,352,0.8888888889
2010,2010-05-01,5,9487,9.1576777194,353,0.8914141414
2010,2010-06-01,6,10514,9.2604629814,354,0.8939393939
2010,2010-07-01,7,12833,9.4597752572,355,0.8964646465
2010,2010-08-01,8,13644,9.5210551435,356,0.898989899
2010,2010-09-01,9,17300,9.7584617805,357,0.9015151515
2010,2010-10-01,10,15005,9.6161387579,358,0.904040404
2010,2010-11-01,11,12632,9.4439885559,359,0.9065656566
2010,2010-12-01,12,12457,9.4300379929,360,0.9090909091
2011,2011-01-01,1,12519,9.4350027693,361,0.9116161616
2011,2011-02-01,2,9100,9.1160296925,362,0.9141414141
2011,2011-03-01,3,9008,9.1058683504,363,0.9166666667
2011,2011-04-01,4,9682,9.1780237705,364,0.9191919192
2011,2011-05-01,5,9399,9.1483585796,365,0.9217171717
2011,2011-06-01,6,9209,9.1279365457,366,0.9242424242
2011,2011-07-01,7,11984,9.3913277058,367,0.9267676768
2011,2011-08-01,8,15332,9.6376974265,368,0.9292929293
2011,2011-09-01,9,15831,9.6697253221,369,0.9318181818
2011,2011-10-01,10,9753,9.185330209,370,0.9343434343
2011,2011-11-01,11,7094,8.8670046353,371,0.9368686869
2011,2011-12-01,12,6293,8.7471931835,372,0.9393939394
2012,2012-01-01,1,12857,9.4616436891,373,0.9419191919
2012,2012-02-01,2,9350,9.1431316223,374,0.9444444444
2012,2012-03-01,3,9523,9.1614652042,375,0.946969697
2012,2012-04-01,4,10326,9.2424202654,376,0.9494949495
2012,2012-05-01,5,9047,9.11018849,377,0.952020202
2012,2012-06-01,6,9694,9.1792624164,378,0.9545454545
2012,2012-07-01,7,12159,9.4058249153,379,0.9570707071
2012,2012-08-01,8,15267,9.6334489153,380,0.9595959596
2012,2012-09-01,9,16268,9.696955267,381,0.9621212121
2012,2012-10-01,10,9741,9.1840990608,382,0.9646464646
2012,2012-11-01,11,7417,8.9115299417,383,0.9671717172
2012,2012-12-01,12,6831,8.8292263547,384,0.9696969697
2013,2013-01-01,1,13264,9.4928088774,385,0.9722222222
2013,2013-02-01,2,10299,9.2398020821,386,0.9747474747
2013,2013-03-01,3,9838,9.1940077174,387,0.9772727273
2013,2013-04-01,4,10445,9.253878674,388,0.9797979798
2013,2013-05-01,5,9134,9.1197589937,389,0.9823232323
2013,2013-06-01,6,9635,9.1731575808,390,0.9848484848
2013,2013-07-01,7,11471,9.3475773903,391,0.9873737374
2013,2013-08-01,8,14709,9.5962148303,392,0.9898989899
2013,2013-09-01,9,14915,9.6101226969,393,0.9924242424
2013,2013-10-01,10,8426,9.0390774425,394,0.9949494949
2013,2013-11-01,11,5413,8.5965587468,395,0.9974747475
2013,2013-12-01,12,3147,8.0542048971,396,1
